date,exercise,lose weight,depression,weight loss,isPartial
2010-01-01,73,26,39,21,False
2010-01-02,44,33,33,43,False
2010-01-03,76,52,38,79,False
2010-01-04,78,42,46,66,False
2010-01-05,51,39,42,60,False
2010-01-06,54,40,38,43,False
2010-01-07,69,25,44,41,False
2010-01-08,39,34,34,54,False
2010-01-09,46,36,42,42,False
2010-01-10,56,30,50,36,False
2010-01-11,61,32,52,45,False
2010-01-12,73,27,46,48,False
2010-01-13,66,26,44,24,False
2010-01-14,65,37,49,51,False
2010-01-15,70,38,28,48,False
2010-01-16,35,35,45,29,False
2010-01-17,87,40,46,50,False
2010-01-18,79,29,52,41,False
2010-01-19,58,37,51,35,False
2010-01-20,70,35,42,39,False
2010-01-21,66,30,33,37,False
2010-01-22,80,35,35,57,False
2010-01-23,33,33,56,36,False
2010-01-24,49,59,52,40,False
2010-01-25,57,29,66,43,False
2010-01-26,80,30,62,34,False
2010-01-27,100,33,42,35,False
2010-01-28,68,33,52,30,False
2010-01-29,46,28,43,38,False
2010-01-30,40,33,43,50,False
2010-01-31,70,30,40,43,False
