Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18
;;;;;;;;;;;;;;;;;
year ;   jan ;   feb;    mar ;   apr;    may;    jun;    jul;    aug;    sep;    oct;    nov;    dec ;    win ;    spr ;   sum;    aut ;    ann
1919 ; 121.8 ;  41.3;  113.7 ; 117.7;   32.3;  113.2;   38.1;  107.8;  131.5;   84.1;  161.9;  194.7 ;  317.3 ;  263.7 ; 259.1;  377.5 ; 1258.1
1920 ; 193.0 ; 185.6;  144.5 ;  83.8;  129.1;   49.9;  112.1;  115.9;   96.7;   77.6;  149.2;  129.5 ;  573.3 ;  357.4 ; 277.9;  323.5 ; 1466.9
1921 ; 226.2 ;  51.4;  177.5 ;  51.0;   92.8;   32.5;  104.5;  135.0;   83.5;  136.2;   80.9;  221.1 ;  407.0 ;  321.3 ; 272.0;  300.6 ; 1392.6
1922 ; 152.6 ; 148.9;   80.3 ;  99.0;  120.2;   74.5;  114.2;  102.6;   78.1;   75.7;  104.2;  146.3 ;  522.7 ;  299.5 ; 291.3;  258.0 ; 1296.6
1923 ; 182.8 ; 149.4;   50.9 ;  99.3;  103.1;   64.5;  120.7;  183.4;  164.3;  197.6;  151.2;  148.5 ;  478.5 ;  253.3 ; 368.6;  513.1 ; 1615.8
1924 ; 124.6 ;  65.3;   40.5 ;  80.3;  124.5;   85.3;  145.4;  139.5;  171.9;  119.6;   96.8;  212.2 ;  338.4 ;  245.3 ; 370.3;  388.3 ; 1406.0
1925 ; 148.1 ; 163.4;   89.4 ; 136.4;  160.4;   32.0;   77.1;   88.6;  122.4;  124.3;   54.0;  138.2 ;  523.7 ;  386.2 ; 197.7;  300.7 ; 1334.4
1926 ; 183.8 ; 126.6;  127.3 ;  84.0;   86.3;   87.7;   90.0;  112.3;  133.4;  181.0;  174.8;  107.4 ;  448.6 ;  297.6 ; 289.9;  489.2 ; 1494.5
1927 ; 200.6 ;  77.1;  102.8 ; 131.5;   81.2;  125.6;  105.4;  136.4;  191.3;  179.5;  148.2;   44.7 ;  385.1 ;  315.5 ; 367.4;  519.0 ; 1524.3
1928 ; 293.1 ; 148.3;  127.2 ;  66.8;   50.0;  125.1;   96.2;  136.9;  113.9;  191.6;  191.1;  145.8 ;  486.0 ;  243.9 ; 358.2;  496.6 ; 1685.9
1929 ;  52.8 ;  49.0;   28.0 ;  61.0;   93.3;   89.2;  109.3;  159.4;   84.1;  200.2;  181.0;  267.3 ;  247.6 ;  182.2 ; 357.9;  465.2 ; 1374.4
1930 ; 199.9 ;  25.9;   87.4 ;  63.2;   65.2;   85.4;   90.7;  188.6;  125.3;  203.8;  181.5;  142.4 ;  493.2 ;  215.8 ; 364.7;  510.6 ; 1459.4
1931 ; 163.9 ; 137.2;   39.4 ;  83.5;  112.7;  137.5;  133.3;   68.1;   52.4;  117.1;  185.4;  147.8 ;  443.5 ;  235.6 ; 338.9;  354.9 ; 1378.3
1932 ; 228.2 ;  11.2;   95.8 ; 134.9;   86.8;   37.7;  125.7;   79.7;  143.7;  212.7;  146.2;  185.4 ;  387.2 ;  317.5 ; 243.0;  502.6 ; 1487.9
1933 ; 150.7 ; 122.8;   71.2 ;  92.8;   57.5;   66.6;  112.1;  105.6;   40.1;  150.2;   78.8;   41.8 ;  458.9 ;  221.6 ; 284.4;  269.1 ; 1090.4
1934 ; 176.3 ;  42.5;  102.0 ; 150.1;   99.0;   62.6;  113.6;  136.7;  146.7;  207.0;   62.9;  179.8 ;  260.6 ;  351.0 ; 312.9;  416.6 ; 1479.2
1935 ; 103.6 ; 159.7;   79.2 ; 108.3;   36.2;  113.3;   69.2;  108.6;  188.8;  255.5;  147.8;   98.6 ;  443.2 ;  223.6 ; 291.1;  592.2 ; 1468.8
1936 ; 137.0 ;  83.8;   73.2 ;  48.2;   51.1;   52.1;  151.7;   85.4;  117.2;  151.7;  112.2;  206.9 ;  319.4 ;  172.5 ; 289.1;  381.1 ; 1270.4
1937 ; 205.9 ; 142.8;   69.1 ;  54.2;   64.7;   80.4;  121.8;  108.6;  101.2;   98.1;   40.5;   90.8 ;  555.5 ;  188.0 ; 310.8;  239.7 ; 1177.8
1938 ; 220.2 ; 105.6;  131.5 ;  29.0;  104.1;  155.8;  145.5;   90.7;  123.5;  247.1;  244.5;  137.3 ;  416.5 ;  264.6 ; 392.0;  615.1 ; 1734.8
1939 ; 141.4 ; 165.6;  116.1 ;  71.0;   37.8;   63.9;  170.2;   67.4;   73.1;   94.9;  210.2;   89.8 ;  444.4 ;  224.9 ; 301.5;  378.1 ; 1301.4
1940 ;  57.5 ;  63.7;  119.9 ;  87.3;   52.0;   38.7;  186.6;   81.0;  108.6;  157.9;  211.8;  165.6 ;  211.0 ;  259.2 ; 306.3;  478.3 ; 1330.6
1941 ;  57.4 ; 125.6;   71.1 ;  67.2;   73.3;   30.7;  103.7;  162.3;   57.8;  151.2;  146.0;  117.4 ;  348.6 ;  211.6 ; 296.7;  355.0 ; 1163.6
1942 ; 159.4 ;  76.7;   71.0 ;  64.6;   86.9;   58.0;  111.8;  138.4;  164.4;  190.9;   56.7;  195.7 ;  353.5 ;  222.5 ; 308.3;  411.9 ; 1374.5
1943 ; 144.9 ; 148.7;   84.9 ; 120.6;  110.2;  100.8;   89.9;  164.9;  116.4;  213.1;  119.3;   85.8 ;  489.3 ;  315.7 ; 355.6;  448.8 ; 1499.4
1944 ; 174.5 ;  77.4;   59.2 ;  84.5;  103.9;  116.2;   74.6;   95.1;  136.4;  159.2;  190.0;  163.2 ;  337.8 ;  247.7 ; 285.9;  485.6 ; 1434.4
1945 ; 138.2 ; 167.2;   93.1 ;  63.9;  123.5;  113.1;   94.6;   83.3;  145.4;  144.4;   28.3;  156.5 ;  468.6 ;  280.4 ; 291.0;  318.1 ; 1351.4
1946 ; 158.5 ; 114.9;   76.8 ;  61.2;   46.9;  110.7;  150.5;  122.5;  180.0;   19.2;  178.3;  137.2 ;  430.0 ;  185.0 ; 383.7;  377.4 ; 1356.8
1947 ; 132.8 ;  34.4;   98.1 ; 192.6;   97.9;  110.4;  105.2;    5.3;  156.2;   76.0;  216.7;   89.9 ;  304.3 ;  388.6 ; 221.0;  448.9 ; 1315.4
1948 ; 189.0 ; 134.7;  111.1 ; 101.2;   70.9;  137.6;  108.9;  190.6;  174.8;  173.2;  116.8;  186.3 ;  413.5 ;  283.1 ; 437.1;  464.7 ; 1694.9
1949 ; 180.1 ; 145.5;   87.2 ; 141.8;   78.1;   43.9;   66.4;  151.1;   77.9;  169.2;  154.2;  259.8 ;  511.8 ;  307.2 ; 261.4;  401.3 ; 1555.3
1950 ; 124.1 ; 147.5;  103.1 ; 135.7;   52.2;   90.4;  139.9;  142.7;  269.3;  133.4;  142.3;   94.5 ;  531.5 ;  291.0 ; 373.0;  545.1 ; 1575.3
1951 ; 160.2 ; 112.1;   99.2 ; 127.2;   42.3;   64.0;  116.1;  149.0;   94.1;   59.5;  223.7;  212.8 ;  366.8 ;  268.7 ; 329.1;  377.3 ; 1460.0
1952 ; 144.0 ;  67.7;  105.0 ;  67.5;   70.8;   95.8;   83.3;  139.9;  103.5;  148.4;  107.0;  153.5 ;  424.5 ;  243.3 ; 319.1;  358.9 ; 1286.6
1953 ;  87.1 ;  86.4;   45.3 ; 103.1;   92.4;   63.6;  158.1;  115.6;  144.1;   98.4;  205.5;  147.7 ;  327.1 ;  240.8 ; 337.2;  447.9 ; 1347.2
1954 ; 134.7 ; 111.3;  100.8 ;  54.6;  124.4;  106.4;  106.8;  119.4;  165.4;  252.7;  212.0;  224.8 ;  393.7 ;  279.9 ; 332.6;  630.1 ; 1713.4
1955 ;  95.7 ; 101.7;   54.1 ;  70.6;   97.7;   69.9;   33.8;   37.3;  130.5;  147.5;   69.6;  224.0 ;  422.2 ;  222.5 ; 141.0;  347.6 ; 1132.5
1956 ; 130.3 ;  76.6;   68.4 ;  67.6;   84.3;   89.5;  164.8;  173.3;  135.2;  131.6;  103.9;  207.4 ;  430.9 ;  220.3 ; 427.6;  370.7 ; 1432.8
1957 ; 199.9 ; 113.6;  133.8 ;  59.1;   60.6;   75.3;  152.2;  152.7;  102.6;  148.0;   77.7;  191.9 ;  520.9 ;  253.5 ; 380.3;  328.3 ; 1467.5
1958 ; 158.6 ; 111.9;   66.6 ;  71.0;  122.6;   78.5;  121.6;  132.7;  112.2;  139.8;   54.6;  154.8 ;  462.3 ;  260.2 ; 332.8;  306.6 ; 1324.8
1959 ; 111.1 ;  51.3;   81.5 ; 114.4;   47.4;   92.7;  144.4;   63.5;   48.1;  171.2;  190.7;  199.2 ;  317.2 ;  243.4 ; 300.6;  410.0 ; 1315.4
1960 ; 128.3 ; 129.2;   53.3 ; 105.7;   53.7;   74.5;   99.7;  138.2;   86.4;  110.0;  144.8;  153.4 ;  456.6 ;  212.7 ; 312.4;  341.1 ; 1277.0
1961 ; 125.0 ; 140.5;   98.0 ;  96.2;   59.4;   79.3;  120.3;  162.1;  153.0;  199.9;  119.1;  114.3 ;  418.9 ;  253.6 ; 361.7;  472.0 ; 1467.2
1962 ; 234.0 ; 137.6;   63.5 ;  75.9;   91.7;   85.9;   79.0;  203.5;  152.7;   87.4;   96.7;  164.7 ;  485.8 ;  231.0 ; 368.4;  336.9 ; 1472.5
1963 ;  39.5 ;  32.5;  153.7 ;  88.6;  121.5;   94.6;   81.9;  140.0;  125.9;  146.5;  185.6;   62.3 ;  236.7 ;  363.8 ; 316.6;  458.1 ; 1272.7
1964 ;  73.7 ;  50.7;   63.7 ; 107.1;  108.1;   85.8;  100.3;  148.6;  146.7;  101.4;  137.1;  170.3 ;  186.7 ;  278.9 ; 334.8;  385.2 ; 1293.6
1965 ; 161.8 ;  43.1;   82.9 ; 116.5;   87.3;  119.4;  111.6;  121.8;  162.5;  137.8;  105.2;  156.2 ;  375.1 ;  286.8 ; 352.7;  405.5 ; 1406.0
1966 ;  80.3 ; 123.8;  143.1 ;  67.9;  114.0;  143.0;   71.5;  101.8;  117.0;  128.4;  153.9;  241.2 ;  360.3 ;  325.0 ; 316.3;  399.2 ; 1485.9
1967 ; 122.2 ; 143.1;  207.9 ;  78.7;  125.1;   74.1;  104.0;   94.2;  138.2;  242.4;  130.7;  133.5 ;  506.5 ;  411.7 ; 272.3;  511.2 ; 1594.0
1968 ; 140.9 ;  73.1;  152.5 ;  71.5;  104.5;   70.0;  105.5;   68.5;  116.9;  200.9;   84.9;   83.0 ;  347.5 ;  328.5 ; 243.9;  402.7 ; 1272.1
1969 ; 135.1 ;  78.6;   39.5 ;  76.4;  102.2;   83.0;   86.7;   87.4;  129.8;  134.6;  167.4;  113.2 ;  296.7 ;  218.1 ; 257.0;  431.8 ; 1233.8
1970 ; 105.6 ; 145.5;  105.2 ; 103.6;   76.9;   70.9;  150.1;  119.0;  148.7;  201.1;  188.0;   88.9 ;  364.3 ;  285.7 ; 340.0;  537.8 ; 1503.5
1971 ; 128.4 ;  98.0;   97.5 ;  56.3;   77.5;   71.2;   82.1;   98.4;   58.3;  163.4;  150.8;  130.7 ;  315.3 ;  231.3 ; 251.7;  372.5 ; 1212.5
