Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18
;;;;;;;;;;;;;;;;;
year ;   jan ;   feb;    mar ;   apr ;   may ;   jun;    jul;    aug;    sep ;   oct ;   nov ;   dec ;    win ;    spr ;    sum  ;   aut ;    ann
1919 ; 119.6 ;  59.5;  118.0 ;  80.2 ;  29.9 ;  64.3;   49.7;   89.7;   81.1 ;  70.8 ; 101.5 ; 165.1 ;  313.1 ;  228.0 ;  203.7  ; 253.4 ; 1029.3
1920 ; 139.4 ;  94.8;  108.6 ; 106.2 ;  93.9 ;  58.5;  124.6;   71.6;   78.6 ;  75.8 ;  82.7 ; 105.3 ;  399.4 ;  308.7 ;  254.7  ; 237.1 ; 1140.1
1921 ; 149.2 ;  23.5;  102.7 ;  38.9 ;  63.0 ;  17.4;   59.6;  110.3;   53.1 ;  81.5 ;  72.9 ; 128.3 ;  278.0 ;  204.6 ;  187.3  ; 207.5 ;  900.4
1922 ; 123.0 ; 113.8;   72.0 ;  86.2 ;  62.3 ;  52.4;  117.4;   99.2;   79.6 ;  47.2 ;  65.9 ; 127.6 ;  365.1 ;  220.5 ;  269.0  ; 192.7 ; 1046.7
1923 ; 103.8 ; 153.3;   49.7 ;  79.7 ;  77.9 ;  35.7;   91.3;  128.1;  111.4 ; 155.8 ; 112.7 ; 115.0 ;  384.7 ;  207.3 ;  255.0  ; 379.9 ; 1214.4
1924 ; 103.6 ;  38.7;   37.1 ;  76.2 ; 123.0 ;  71.1;  123.2;  113.4;  133.5 ; 121.6 ;  81.4 ; 152.9 ;  257.4 ;  236.3 ;  307.7  ; 336.5 ; 1175.8
1925 ; 102.3 ; 136.9;   50.9 ;  94.2 ; 121.6 ;  13.9;   74.0;   85.7;  103.5 ; 111.3 ;  64.7 ; 109.4 ;  392.1 ;  266.8 ;  173.6  ; 279.5 ; 1068.4
1926 ; 137.2 ;  95.0;   58.9 ;  71.0 ;  74.3 ;  77.6;   79.8;   86.6;   80.1 ; 117.6 ; 164.7 ;  51.4 ;  341.6 ;  204.3 ;  244.0  ; 362.5 ; 1094.4
1927 ; 128.0 ;  76.1;   91.9 ;  80.4 ;  50.8 ; 107.3;   98.5;  133.5;  157.7 ; 110.1 ; 116.9 ;  66.1 ;  255.5 ;  223.1 ;  339.3  ; 384.7 ; 1217.4
1928 ; 205.1 ; 105.0;   94.9 ;  48.6 ;  41.2 ; 109.3;   69.9;  110.7;   62.2 ; 159.3 ; 145.4 ; 105.6 ;  376.2 ;  184.7 ;  289.9  ; 366.9 ; 1257.3
1929 ;  49.0 ;  38.6;   16.6 ;  40.9 ;  69.9 ;  61.6;   82.1;  106.7;   46.0 ; 150.6 ; 188.3 ; 213.4 ;  193.2 ;  127.4 ;  250.4  ; 384.8 ; 1063.6
1930 ; 153.5 ;  24.3;   72.5 ;  67.5 ;  59.2 ;  54.2;  103.1;  138.5;  113.7 ; 136.2 ; 142.9 ; 114.4 ;  391.2 ;  199.2 ;  295.7  ; 392.8 ; 1179.9
1931 ; 107.8 ; 100.4;   28.7 ;  87.4 ;  96.8 ; 111.9;  117.6;   98.5;   65.3 ;  63.6 ; 154.3 ;  82.0 ;  322.5 ;  213.0 ;  327.9  ; 283.2 ; 1114.2
1932 ; 137.3 ;   9.2;   71.5 ; 100.5 ; 108.0 ;  35.8;  110.4;   59.3;  109.5 ; 170.5 ;  89.5 ; 100.7 ;  228.4 ;  280.0 ;  205.6  ; 369.5 ; 1102.1
1933 ;  96.4 ; 104.8;   73.3 ;  54.6 ;  55.5 ;  61.2;   77.9;   57.2;   46.9 ; 118.3 ;  55.6 ;  32.9 ;  301.9 ;  183.4 ;  196.3  ; 220.7 ;  834.5
1934 ; 113.5 ;  21.5;   81.0 ;  97.9 ;  64.2 ;  50.3;   66.6;  102.5;   99.3 ; 127.2 ;  57.6 ; 178.0 ;  167.9 ;  243.1 ;  219.4  ; 284.2 ; 1059.7
1935 ;  63.5 ; 121.8;   43.6 ; 100.8 ;  33.8 ; 102.2;   38.7;   75.0;  152.9 ; 172.3 ; 144.2 ;  93.8 ;  363.3 ;  178.1 ;  215.9  ; 469.3 ; 1142.4
1936 ; 127.7 ;  75.2;   64.9 ;  48.4 ;  37.8 ;  80.6;  143.7;   52.2;  101.0 ;  92.9 ; 106.7 ; 132.6 ;  296.7 ;  151.2 ;  276.5  ; 300.6 ; 1063.8
1937 ; 153.9 ; 138.4;   80.8 ;  69.5 ;  67.4 ;  55.3;   85.5;   64.5;   75.7 ;  84.9 ;  46.7 ;  93.0 ;  424.9 ;  217.7 ;  205.3  ; 207.3 ; 1015.6
1938 ; 147.4 ;  58.0;   56.8 ;  14.1 ;  82.2 ;  93.8;  108.8;   85.6;   80.5 ; 171.6 ; 163.9 ; 119.0 ;  298.4 ;  153.1 ;  288.2  ; 416.0 ; 1181.7
1939 ; 147.8 ;  96.1;   79.2 ;  66.4 ;  33.1 ;  63.5;  144.8;   69.4;   47.2 ; 103.9 ; 172.5 ;  71.7 ;  363.0 ;  178.7 ;  277.6  ; 323.6 ; 1095.7
1940 ;  68.4 ;  71.5;   93.4 ;  71.3 ;  43.9 ;  27.7;  134.9;   38.2;   72.4 ; 124.9 ; 190.5 ; 107.2 ;  211.6 ;  208.6 ;  200.9  ; 387.7 ; 1044.3
1941 ;  74.3 ; 106.4;   82.5 ;  49.5 ;  64.2 ;  31.2;   82.9;  131.8;   32.9 ; 108.4 ; 104.3 ;  74.5 ;  288.0 ;  196.2 ;  245.9  ; 245.5 ;  942.9
1942 ; 125.7 ;  46.3;   68.0 ;  50.2 ;  95.7 ;  30.8;   88.9;  107.5;  103.5 ; 127.0 ;  44.8 ; 136.2 ;  246.6 ;  213.9 ;  227.2  ; 275.4 ; 1024.7
1943 ; 147.3 ;  82.7;   45.6 ;  65.6 ;  92.8 ;  76.2;   67.3;  116.1;   97.3 ; 128.0 ;  85.7 ;  64.0 ;  366.2 ;  204.0 ;  259.6  ; 311.0 ; 1068.6
1944 ; 115.8 ;  52.5;   27.9 ;  65.7 ;  60.8 ;  81.8;   74.0;   82.6;  118.4 ; 131.3 ; 165.2 ; 105.8 ;  232.4 ;  154.4 ;  238.4  ; 414.9 ; 1081.8
1945 ; 100.4 ; 110.5;   53.9 ;  50.7 ;  96.2 ;  93.8;   77.6;   72.3;   91.7 ; 118.6 ;  21.8 ; 118.4 ;  316.7 ;  200.9 ;  243.7  ; 232.1 ; 1006.0
1946 ; 114.5 ;  96.6;   50.5 ;  49.1 ;  61.0 ;  93.5;  101.2;  132.3;  146.8 ;  31.5 ; 162.6 ; 112.3 ;  329.5 ;  160.7 ;  327.0  ; 340.8 ; 1151.9
1947 ;  99.0 ;  44.1;  141.4 ; 117.7 ;  73.3 ;  82.1;   83.7;   10.4;   86.4 ;  39.7 ; 129.0 ;  82.1 ;  255.4 ;  332.4 ;  176.1  ; 255.1 ;  988.7
1948 ; 181.5 ;  78.4;   64.4 ;  68.3 ;  66.5 ; 107.3;   68.2;  138.7;  109.5 ; 107.3 ;  77.6 ; 140.0 ;  342.0 ;  199.2 ;  314.2  ; 294.5 ; 1207.9
1949 ;  90.8 ;  77.6;   58.0 ;  92.5 ;  68.6 ;  27.6;   58.6;   87.4;   58.2 ; 157.8 ; 124.9 ; 147.3 ;  308.5 ;  219.2 ;  173.7  ; 340.8 ; 1049.4
1950 ;  67.5 ; 141.2;   62.3 ;  96.4 ;  50.3 ;  61.9;  115.0;  132.3;  180.2 ;  77.7 ; 140.3 ;  79.3 ;  356.0 ;  209.0 ;  309.1  ; 398.2 ; 1204.4
1951 ; 115.0 ; 109.9;  106.3 ;  88.5 ;  65.4 ;  44.4;   72.8;  135.1;   86.4 ;  40.7 ; 193.2 ; 140.8 ;  304.1 ;  260.2 ;  252.4  ; 320.3 ; 1198.5
1952 ; 108.1 ;  39.9;   81.1 ;  60.9 ;  66.3 ;  68.9;   51.4;  116.4;   91.0 ; 120.5 ;  95.0 ; 110.1 ;  288.8 ;  208.3 ;  236.6  ; 306.5 ; 1009.5
1953 ;  50.4 ;  62.1;   34.2 ;  82.0 ;  69.9 ;  62.5;  119.2;   95.4;  104.1 ;  79.0 ; 118.3 ;  74.5 ;  222.6 ;  186.1 ;  277.0  ; 301.5 ;  951.6
1954 ;  88.1 ;  93.6;   85.3 ;  29.2 ;  94.0 ;  93.5;   95.8;  118.0;  118.7 ; 171.1 ; 181.7 ; 138.0 ;  256.2 ;  208.6 ;  307.3  ; 471.5 ; 1307.0
1955 ;  87.7 ;  76.0;   53.3 ;  49.0 ;  99.1 ;  82.1;   30.4;   31.4;   80.0 ;  96.3 ;  64.6 ; 147.0 ;  301.7 ;  201.4 ;  143.9  ; 240.9 ;  897.0
1956 ; 120.7 ;  42.5;   45.3 ;  48.3 ;  44.5 ;  76.5;  122.9;  161.4;  105.4 ;  81.9 ;  58.0 ; 140.0 ;  310.2 ;  138.1 ;  360.7  ; 245.2 ; 1047.3
1957 ; 120.1 ;  99.3;   92.3 ;  27.4 ;  51.5 ;  57.2;  123.0;  121.6;  120.4 ; 102.0 ;  65.4 ; 119.3 ;  359.5 ;  171.2 ;  301.9  ; 287.8 ; 1099.6
1958 ; 113.7 ; 117.6;   51.3 ;  43.7 ;  94.8 ; 100.3;  106.8;  110.4;  119.0 ; 101.9 ;  55.0 ; 120.3 ;  350.6 ;  189.8 ;  317.5  ; 275.9 ; 1134.7
1959 ; 102.7 ;  25.0;   73.5 ;  91.6 ;  34.7 ;  61.8;   93.4;   43.7;   23.2 ; 117.7 ; 145.2 ; 176.6 ;  248.0 ;  199.8 ;  198.9  ; 286.2 ;  989.2
1960 ; 126.9 ;  98.5;   51.3 ;  68.5 ;  46.6 ;  58.6;  111.0;  118.1;  100.6 ; 146.6 ; 147.0 ; 124.9 ;  402.0 ;  166.5 ;  287.8  ; 394.1 ; 1198.6
1961 ; 118.0 ;  95.3;   43.3 ;  99.8 ;  47.0 ;  52.3;   84.8;  109.0;  104.1 ; 145.0 ;  80.8 ; 102.5 ;  338.3 ;  190.1 ;  246.1  ; 329.8 ; 1082.0
1962 ; 151.4 ;  71.6;   50.9 ;  71.7 ;  74.3 ;  42.8;   64.8;  142.8;  123.0 ;  54.4 ;  78.6 ; 104.6 ;  325.5 ;  196.9 ;  250.4  ; 256.0 ; 1030.9
1963 ;  32.6 ;  34.3;  120.6 ;  82.5 ;  76.9 ;  87.5;   64.0;  113.4;   88.8 ;  92.0 ; 168.6 ;  39.7 ;  171.5 ;  280.0 ;  264.9  ; 349.4 ; 1000.9
1964 ;  43.7 ;  38.0;   80.9 ;  77.9 ;  75.0 ;  77.7;   68.8;   87.4;   74.5 ;  79.6 ;  86.7 ; 128.4 ;  121.3 ;  233.8 ;  233.9  ; 240.8 ;  918.6
1965 ; 122.7 ;  24.6;   76.6 ;  80.8 ;  70.8 ;  89.6;  101.5;   89.9;  141.7 ;  70.8 ; 106.5 ; 163.2 ;  275.7 ;  228.2 ;  281.0  ; 319.0 ; 1138.8
