date,exercise,lose weight,depression,weight loss,post partum,isPartial
2004-01-01,37,5,28,14,0,False
2004-02-01,38,5,33,13,0,False
2004-03-01,40,3,26,9,0,False
2004-04-01,38,4,31,14,0,False
2004-05-01,38,5,29,11,0,False
2004-06-01,32,4,24,15,1,False
2004-07-01,24,6,23,8,1,False
2004-08-01,24,6,21,11,0,False
2004-09-01,28,4,26,11,0,False
2004-10-01,32,2,29,9,0,False
2004-11-01,39,4,26,8,0,False
2004-12-01,33,3,25,8,0,False
2005-01-01,35,5,26,12,1,False
2005-02-01,36,4,25,11,0,False
2005-03-01,39,6,29,12,0,False
2005-04-01,38,6,23,13,1,False
2005-05-01,35,8,26,13,0,False
2005-06-01,27,7,25,11,0,False
2005-07-01,27,6,20,9,0,False
2005-08-01,29,6,23,12,0,False
2005-09-01,28,5,23,11,0,False
2005-10-01,30,4,26,11,0,False
2005-11-01,32,6,26,9,0,False
2005-12-01,28,6,24,9,0,False
2006-01-01,37,6,28,13,0,False
2006-02-01,34,5,24,11,0,False
2006-03-01,36,5,27,9,0,False
2006-04-01,32,7,25,13,0,False
2006-05-01,33,7,21,13,0,False
2006-06-01,29,6,22,10,0,False
2006-07-01,23,6,18,15,0,False
2006-08-01,23,7,20,13,0,False
2006-09-01,27,6,29,10,0,False
2006-10-01,30,5,27,11,0,False
2006-11-01,30,5,23,9,0,False
2006-12-01,26,5,22,8,0,False
2007-01-01,34,9,24,15,0,False
2007-02-01,31,7,22,12,0,False
2007-03-01,33,8,26,11,0,False
2007-04-01,29,10,24,14,0,False
2007-05-01,30,10,21,13,0,False
2007-06-01,27,8,21,13,0,False
2007-07-01,26,8,17,12,0,False
2007-08-01,24,9,18,13,0,False
2007-09-01,25,7,19,12,0,False
2007-10-01,28,6,21,12,0,False
2007-11-01,30,7,24,14,0,False
2007-12-01,24,5,16,8,0,False
2008-01-01,37,10,20,17,0,False
2008-02-01,33,8,22,15,0,False
2008-03-01,33,8,21,14,0,False
2008-04-01,30,9,19,16,0,False
2008-05-01,26,9,20,15,1,False
2008-06-01,25,9,17,15,0,False
2008-07-01,24,8,15,13,0,False
2008-08-01,23,8,15,13,0,False
2008-09-01,24,5,19,10,0,False
2008-10-01,24,6,21,11,0,False
2008-11-01,27,6,20,10,0,False
2008-12-01,24,6,17,8,1,False
2009-01-01,35,10,21,17,0,False
2009-02-01,28,8,19,14,0,False
2009-03-01,28,9,19,14,0,False
2009-04-01,30,10,19,16,0,False
2009-05-01,28,11,19,18,0,False
2009-06-01,26,12,18,17,0,False
2009-07-01,25,12,15,15,0,False
2009-08-01,24,11,18,13,0,False
2009-09-01,25,10,17,13,0,False
2009-10-01,28,11,18,13,0,False
2009-11-01,30,11,21,14,0,False
2009-12-01,25,9,16,12,0,False
2010-01-01,34,16,20,21,0,False
2010-02-01,29,16,21,18,0,False
2010-03-01,31,14,22,17,0,False
2010-04-01,28,15,20,19,0,False
2010-05-01,28,16,19,21,0,False
2010-06-01,25,16,17,21,0,False
2010-07-01,25,16,17,17,0,False
2010-08-01,20,15,17,17,0,False
2010-09-01,23,13,19,15,0,False
2010-10-01,23,12,18,14,0,False
2010-11-01,25,13,21,12,0,False
2010-12-01,20,18,17,10,0,False
2011-01-01,39,36,26,27,0,False
2011-02-01,34,26,23,19,0,False
2011-03-01,35,22,26,21,0,False
2011-04-01,30,23,23,24,0,False
2011-05-01,34,24,23,24,0,False
2011-06-01,33,26,23,26,0,False
2011-07-01,28,36,21,25,0,False
2011-08-01,27,36,20,23,0,False
2011-09-01,31,33,23,23,0,False
2011-10-01,31,24,25,21,0,False
2011-11-01,29,17,27,23,0,False
2011-12-01,25,15,23,19,0,False
2012-01-01,42,27,28,29,0,False
2012-02-01,39,34,27,28,0,False
2012-03-01,39,23,26,26,0,False
2012-04-01,36,23,26,27,0,False
2012-05-01,37,25,26,27,0,False
2012-06-01,36,26,24,26,0,False
2012-07-01,34,27,22,27,0,False
2012-08-01,34,27,22,26,0,False
2012-09-01,36,21,24,22,0,False
2012-10-01,33,18,26,19,0,False
2012-11-01,32,18,29,21,0,False
2012-12-01,29,17,24,18,0,False
2013-01-01,44,28,27,31,0,False
2013-02-01,43,25,26,26,0,False
2013-03-01,42,25,27,25,0,False
2013-04-01,42,28,27,30,0,False
2013-05-01,41,27,26,27,0,False
2013-06-01,40,28,26,30,0,False
2013-07-01,37,30,26,29,0,False
2013-08-01,36,26,24,29,0,False
2013-09-01,35,21,26,23,0,False
2013-10-01,36,19,28,24,0,False
2013-11-01,37,20,30,24,0,False
2013-12-01,32,20,27,23,0,False
2014-01-01,51,31,30,40,0,False
2014-02-01,44,26,28,34,0,False
2014-03-01,45,29,29,32,0,False
2014-04-01,42,30,28,34,0,False
2014-05-01,45,30,27,35,0,False
2014-06-01,43,29,26,36,0,False
2014-07-01,40,28,22,33,0,False
2014-08-01,36,24,29,29,0,False
2014-09-01,38,21,29,26,0,False
2014-10-01,38,19,30,25,0,False
2014-11-01,37,17,32,25,0,False
2014-12-01,32,18,28,22,0,False
2015-01-01,54,31,33,39,0,False
2015-02-01,44,25,34,30,0,False
2015-03-01,45,26,33,33,0,False
2015-04-01,45,29,31,36,0,False
2015-05-01,45,26,30,32,0,False
2015-06-01,42,27,27,31,0,False
2015-07-01,40,28,27,29,0,False
2015-08-01,38,26,26,30,0,False
2015-09-01,41,20,29,26,0,False
2015-10-01,37,19,32,24,0,False
2015-11-01,39,19,34,25,0,False
2015-12-01,35,18,31,26,0,False
2016-01-01,54,33,34,38,0,False
2016-02-01,49,25,33,30,0,False
2016-03-01,47,25,34,30,0,False
2016-04-01,48,28,31,35,0,False
2016-05-01,47,29,31,34,0,False
2016-06-01,39,26,27,30,0,False
2016-07-01,40,26,26,30,0,False
2016-08-01,39,27,25,28,0,False
2016-09-01,42,22,29,28,0,False
2016-10-01,40,18,32,25,0,False
2016-11-01,40,17,30,27,0,False
2016-12-01,33,17,30,24,0,False
2017-01-01,55,32,30,40,0,False
2017-02-01,51,25,32,38,0,False
2017-03-01,47,25,35,35,0,False
2017-04-01,46,25,30,36,0,False
2017-05-01,47,28,33,34,0,False
2017-06-01,41,27,26,33,0,False
2017-07-01,42,27,29,34,0,False
2017-08-01,40,24,29,30,0,False
2017-09-01,43,21,29,31,0,False
2017-10-01,39,19,32,28,0,False
2017-11-01,38,18,33,25,0,False
2017-12-01,32,16,29,22,0,False
2018-01-01,54,35,32,43,0,False
2018-02-01,49,27,32,33,0,False
2018-03-01,46,25,31,31,0,False
2018-04-01,47,28,32,35,0,False
2018-05-01,44,28,31,34,0,False
2018-06-01,43,26,29,34,0,False
2018-07-01,40,25,27,31,0,False
2018-08-01,39,21,29,31,0,False
2018-09-01,40,20,31,27,0,False
2018-10-01,39,18,32,26,0,False
2018-11-01,38,18,32,24,0,False
2018-12-01,36,17,28,25,0,False
2019-01-01,53,29,31,39,0,False
2019-02-01,46,25,33,33,0,False
2019-03-01,44,25,32,33,0,False
2019-04-01,43,25,29,34,1,False
2019-05-01,45,27,31,35,1,False
2019-06-01,42,26,28,35,0,False
2019-07-01,40,25,25,33,0,False
2019-08-01,38,23,26,32,0,False
2019-09-01,42,19,27,27,0,False
2019-10-01,38,17,30,29,0,False
2019-11-01,37,17,29,27,0,False
2019-12-01,35,16,26,27,0,False
2020-01-01,53,30,30,45,0,False
2020-02-01,45,26,31,38,0,False
2020-03-01,68,18,25,21,0,False
2020-04-01,100,29,25,33,0,False
2020-05-01,79,36,25,49,0,False
2020-06-01,60,32,26,42,0,False
2020-07-01,52,30,25,41,0,False
2020-08-01,49,31,25,41,0,False
2020-09-01,50,23,25,36,0,False
2020-10-01,48,21,27,32,0,False
2020-11-01,56,20,28,29,0,False
2020-12-01,46,19,26,30,0,False
2021-01-01,87,35,27,48,0,False
2021-02-01,65,33,27,44,0,False
2021-03-01,57,32,27,40,0,False
2021-04-01,50,31,25,38,1,False
2021-05-01,49,26,25,37,0,False
2021-06-01,47,29,22,39,1,True
